"","name","sfe","geog","aud","god","gg"
"100","Арбуз, студия цифровой печати ","             Содействие самозанятости","             Санкт-Петербург и область","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2007        ",2007
"101","Арт-студия ""Питер Пен""","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Краснодарский край","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Учащиеся младших классов, Студенты, Добровольцы, сторонники НКО, Неполные семьи, Некоммерческие организации"," 2014        ",2014
"102","Артель авторов","             Народные промыслы","             Санкт-Петербург и область","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2016        ",2016
"103","Архангельский ЦМИТ (ООО ""Архангельский Центр инновационного молодёжного творчества"")","             Инновации","             Архангельская обл.","                                       Молодежь, Учащиеся младших классов, Учащиеся средней школы, Студенты"," 2014        ",2014
"104","Ассоциация деятелей культуры для поддержки и развития талантливой молодежи","             Культура и искусство","             Москва и Московская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Неполные семьи, Некоммерческие организации"," 2016        ",2016
"105","Ассоциация инвалидов ""Мастера творческих направлений деятельности""","             Социально ориентированные НКО","             Челябинская обл.","                                       Люди с ограниченными возможностями, инвалиды"," 2015        ",2015
"106","Ассоциация Патронажа","             Социально ориентированные НКО","             Общероссийский проект","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Взрослые от 45 до 60 лет"," 2017        ",2017
"107","АССОЦИАЦИЯ СОЦИАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ","             Социально ориентированные НКО","             Пермский край","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Добровольцы, сторонники НКО, Некоммерческие организации"," 2015        ",2015
"108","Баба-Деда","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Общероссийский проект","                                       Пожилые люди, Родители с детьми"," 2012        ",2012
"109","Бесплатный пункт приема  и выдачи вещей ""БлагоДарю""","             Cоциальное обслуживание граждан","             Мордовия","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2015        ",2015
"110","Благотворительный магазин ""DANKE-SHOP""","             Cоциальное обслуживание граждан","             Калининградская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2015        ",2015
"111","Благотворительный магазин ""Кладовка""","             Другое","             Иркутская обл.","                                       Пожилые люди, Родители с детьми, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Студенты, Работающая молодежь, Лица без определенного места жительства, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое"," 2016        ",2016
"112","Благотворительный магазин ""Спасибо!""","             Экология","             Санкт-Петербург и область","                                       Некоммерческие организации"," 2010        ",2010
"113","Благотворительный магазин ""Стиль жизни""","             Социально ориентированные НКО","             Москва и Московская обл.","                                       Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое, Некоммерческие организации"," 2014        ",2014
"114","Благотворительный фонд ""Благие дела""","             Социально ориентированные НКО","             Татарстан","                                       Родители с детьми, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Неполные семьи"," 2015        ",2015
"115","Благотворительный Фонд ""Золотое Зеркало""","             Здравоохранение и содействие здоровому образу жизни","             Санкт-Петербург и область","                                       Пожилые люди, Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое, Некоммерческие организации"," 2012        ",2012
"116","Благотворительный фонд помощи детям-сиротам ""Время помогать""","             Социально ориентированные НКО","             Санкт-Петербург и область","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи"," 2008        ",2008
"117","Благотворительный фонд помощи тяжелобольным людям ""Гольфстрим""","             Социально ориентированные НКО","             Москва и Московская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дошкольники"," 2016        ",2016
"118","Булки не растут на деревьях","             Профориентация и трудоустройство","             Москва и Московская обл.","                                       Родители с детьми, Молодежь, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2011        ",2011
"119","Вектор Дружбы, Организация учащейся молодежи и детей Пермского края, АНО","             Социально ориентированные НКО","             Пермский край","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое"," 2006        ",2006
"120","Вещеворот. Федеральный банк вещей.","             Социально ориентированные НКО","             Челябинская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Безработные, Лица без определенного места жительства, Неполные семьи, Другое, Некоммерческие организации"," 2014        ",2014
"121","Вилла ""Курица"" - творческое пространство для детей и родителей","             Детские товары и услуги","             Красноярский край","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Неполные семьи"," 2014        ",2014
"122","Восточно-Сибирский Центр Энергосбережения","             Энергоэффективность","             Иркутская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое, Некоммерческие организации"," 2013        ",2013
"123","Галерея современного искусства ""БЕЛАЯ ЛОШАДЬ""","             Культурно-просветительская деятельность","             Краснодарский край","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО"," 2006        ",2006
"124","Дарудар — сервис дарения","             Cоциальное обслуживание граждан","             Москва и Московская обл.","                                       Родители с детьми, Социально-незащищенные жители, Безработные, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2008        ",2008
"125","Дети Мегаполиса, центр детского развития","             Образование","             Красноярский край","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Работающая молодежь, Взрослые от 30 до 45 лет, Неполные семьи, Другое"," 2013        ",2013
"126","Детская Академия Анастасии Бондарь","             Образование","             Кемеровская обл.","                                       Родители с детьми, Дошкольники"," 2002        ",2002
"127","Детская футбольная школа ""Искра""","             Физическая культура и массовый спорт","             Ханты-Мансийский АО","                                       Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2015        ",2015
"128","Детская школа балета ""Lil Ballerine""","             Образование","             Ханты-Мансийский АО","                                       Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2017        ",2017
"129","Детская школа балета ""Lil Ballerine@","             Занятия в детских и молодежных кружках, секциях, студиях","             Приморский край","                                       Пожилые люди, Родители с детьми, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи"," 2019        ",2019
"130","Детский клуб ""Классики""","             Занятия в детских и молодежных кружках, секциях, студиях","             Свердловская обл.","                                       Родители с детьми, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2014        ",2014
"131","Детский книжный автобус ""Бампер""","             Культурно-просветительская деятельность","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое"," 2010        ",2010
"132","Детский культурно-развлекательный центр ""Чайка"", г.Владивосток","             Отдых и досуг","             Приморский край","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов"," 2015        ",2015
"133","Детский научно-технический центр ""TEHNIC""","             Образование","             Ханты-Мансийский АО","                                       Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2015        ",2015
"134","Детский нейрологопедический центр Дыши Легко","             Здравоохранение и содействие здоровому образу жизни","             Москва и Московская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Дошкольники, Учащиеся младших классов, Неполные семьи"," 2018        ",2018
"135","Детский оздоровительный центр раннего плавания ""Папайя""","             Здравоохранение и содействие здоровому образу жизни","             Кемеровская обл.","                                       Родители с детьми"," 2007        ",2007
"136","Детский развивающий центр ""Чудо Дети""","             Детские товары и услуги","             Красноярский край","                                       Родители с детьми, Социально-незащищенные жители, Дошкольники, Учащиеся младших классов"," 2015        ",2015
"137","Детский центр ""Мамина радость""","             Образование","             Кемеровская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники"," 2015        ",2015
"138","Детский центр развития ""Маленькая страна""","             Занятия в детских и молодежных кружках, секциях, студиях","             Москва и Московская обл.","                                       Родители с детьми, Социально-незащищенные жители, Дошкольники, Учащиеся младших классов, Взрослые от 30 до 45 лет, Неполные семьи"," 2008        ",2008
"139","Детский центр развития ""Маленькая страна""","             Образование","             Кемеровская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов"," 2010        ",2010
"140","Детский центр развития ""Страна Чудес""","             Занятия в детских и молодежных кружках, секциях, студиях","             Курская обл.","                                       Дошкольники, Учащиеся младших классов"," 2014        ",2014
"141","Детский центр СОВЁНОК","             Образование","             Красноярский край","                                       Родители с детьми, Дошкольники"," 2010        ",2010
"142","ДИЦ ""Дети - наше всё""","             Другое","             Алтайский край","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Неполные семьи"," 2013        ",2013
"143","Добробук","             Экология","             Краснодарский край","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет"," 2015        ",2015
"144","ДРЦ Жар-Птица (ИП Шувалов И.Н.)","             Образование","             Иркутская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2014        ",2014
"145","Желтый Крест","             Cоциальное обслуживание граждан","             Москва и Московская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2005        ",2005
"146","ЖКХ Помощник","             Сфера услуг","             Пермский край","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое"," 2018        ",2018
"147","Зеленая школа","             Сельское хозяйство","             Вологодская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Учащиеся средней школы, Безработные, Неполные семьи"," 13        ",2013
"148","Зеленый Драйвер","             Экология","             Санкт-Петербург и область","                                       Родители с детьми, Сельские жители, Молодежь, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое"," 2013        ",2013
"149","Золотая горка","             Отдых и досуг","             Санкт-Петербург и область","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Студенты, Добровольцы, сторонники НКО, Неполные семьи, Другое, Некоммерческие организации"," 2014        ",2014
"150","И-Пандус","             Медтехника, протезно-ортопедические, другие техсредства","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2012        ",2012
"151","Играть Трудись и Твори","             Социально ориентированные НКО","             Республика Алтай","                                       Сельские жители, Социально-незащищенные жители, Молодежь, Учащиеся средней школы, Добровольцы, сторонники НКО"," 2016        ",2016
"152","Инватакси - такси для инвалидов","             Социально ориентированные НКО","             Москва и Московская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2009        ",2009
"153","Инватурист","             Туризм","             Москва и Московская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Добровольцы, сторонники НКО, Некоммерческие организации"," 2018        ",2018
"154","Индивидуальный предприниматель Крюков Сергей Михайлович","             Профориентация и трудоустройство","             Иркутская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Добровольцы, сторонники НКО, Некоммерческие организации"," 2011        ",2011
"155","Индивидуальный предприниматель Кутузова Анна Владимировна","             Здравоохранение и содействие здоровому образу жизни","             Вологодская обл.","                                       Родители с детьми, Молодежь, Студенты, Работающая молодежь, Другое"," 2012        ",2012
"156","Индивидуальный предприниматель Татаринов Михаил Васильевич","             Профориентация и трудоустройство","             Общероссийский проект","                                       Родители с детьми, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2004        ",2004
"157","Инклюзивный иппотеатр","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Ярославская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2014        ",2014
"158","Инклюзивный Монтессори центр ""Счастливый ребёнок""","             Образование","             Кабардино-Балкария","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники"," 2015        ",2015
"159","Инклюзивный центр творчества ""Карнавал""","             Сфера услуг","             Кемеровская обл.","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Неполные семьи"," 2015        ",2015
"160","ИП ГКФХ Топтун Янина Мечиславна","             Сельское хозяйство","             Иркутская обл.","                                       Пожилые люди, Родители с детьми, Другое"," 2017        ",2017
"161","ИП Гудкова Наталья Васильевна","             Социально ориентированные НКО","             Иркутская обл.","                                       Пожилые люди, Социально-незащищенные жители, Лица без определенного места жительства"," 2017        ",2017
"162","ИП Замула О. Э.","             Сфера услуг","             Краснодарский край","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"163","ИП Липатов Валерий Николаевич","             Сфера услуг","             Мордовия","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Работающая молодежь, Безработные"," 2010        ",2010
"164","ИП Лопакова Светлана Владимировна","             Туризм","             Томская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое, Некоммерческие организации"," 2013        ",2013
"165","ИП Малёва Анна Константиновна Керамическая мастерская ""КерАнникА"".","             Народные промыслы","             Кемеровская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2017        ",2017
"166","ИП Межова А.А.","             Профилактика социально опасных форм поведения граждан","             Оренбургская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Безработные, Неполные семьи"," 2003        ",2003
"167","Кабардино-Балкарский центр экспертизы и сертификации ""Доступная среда""","             Социально ориентированные НКО","             Кабардино-Балкария","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2008        ",2008
"168","Калининградская региональная детско-молодёжная общественная организация инвалидов ""Мария""","             Социально ориентированные НКО","             Калининградская обл.","                                       Люди с ограниченными возможностями, инвалиды"," 1998        ",1998
"169","Картон Черноземье (ООО ""Картон Черноземье"")","             Переработка отходов","             Воронежская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое, Некоммерческие организации"," 2010        ",2010
"170","Катаржина","             Медтехника, протезно-ортопедические, другие техсредства","             Москва и Московская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2005        ",2005
"171","Кварки, Музей занимательных наук","             Отдых и досуг","             Нижегородская (Горьковская)","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Учащиеся средней школы, Студенты"," 2013        ",2013
"172","Киндервиль, Детский клуб развития и творчества","             Образование","             Нижегородская (Горьковская)","                                       Родители с детьми, Дошкольники, Учащиеся младших классов"," 2011        ",2011
"173","Киндертур, Турфирма детского и семейного отдыха","             Отдых и досуг","             Нижегородская (Горьковская)","                                       Родители с детьми, Дошкольники, Учащиеся младших классов"," 2013        ",2013
"174","клуб ""НИКК"" и клуб ""Общественный контроль""","             Развитие территории","             Коми","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2004        ",2004
"175","Клуб акваэробики и аквафитнеса ""AQUAFITNES""","             Физическая культура и массовый спорт","             Ханты-Мансийский АО","                                       Родители с детьми, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2013        ",2013
"176","Клуб верховой езды и иппотерапии ""Флёна""","             Отдых и досуг","             Москва и Московская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2008        ",2008
"177","Клуб досуга и путешествий для людей старшего возраста ""Бархатный сезон""","             Туризм","             Москва и Московская обл.","                                       Пожилые люди, Взрослые от 45 до 60 лет"," 2011        ",2011
"178","Колоbook","             Детские товары и услуги","             Москва и Московская обл.","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты"," 2012        ",2012
"179","Компания ""Чудный чай""","             Продукты питания","             Архангельская обл.","                                       Пожилые люди, Родители с детьми, Сельские жители, Молодежь, Учащиеся средней школы, Студенты, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"180","Конно-оздоровительный клуб ""Golden Horse""","             Здравоохранение и содействие здоровому образу жизни","             Волгоградская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь"," 2010        ",2010
"181","Конный клуб ""Галатея""","             Здравоохранение и содействие здоровому образу жизни","             Кемеровская обл.","                                       Люди с ограниченными возможностями, инвалиды"," 2014        ",2014
"182","конный клуб ""ФАВОРИТ""","             Отдых и досуг","             Иркутская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2010        ",2010
"183","Конфеты ""Гранат и шоколад""","             Продукты питания","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2013        ",2013
"184","Коррекционно развивающий центр ИНКЛЮЗИЯ","             Детские товары и услуги","             Москва и Московская обл.","                                       Родители с детьми, Социально-незащищенные жители, Дети-сироты, приемные семьи, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Неполные семьи, Другое"," 2018        ",2018
"185","Краснодарская краевая общественная организация инвалидов ""ВОСХОЖДЕНИЕ""","             Социально ориентированные НКО","             Краснодарский край","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Некоммерческие организации"," 2010        ",2010
